,Mercury/Apollodorus (Survival),Mercury/Apollodorus (Survival)
5143,Neo C2 Relic,Rare (6.67%)
5144,Neo M4 Relic,Rare (6.67%)
5145,Rotation C,Rotation C
5146,Enduring Strike,Uncommon (11.28%)
5147,Life Strike,Uncommon (11.28%)
5148,Axi H6 Relic,Uncommon (11.06%)
5149,Axi A16 Relic,Uncommon (11.06%)
5150,Axi G10 Relic,Uncommon (11.06%)
5151,Axi B6 Relic,Uncommon (11.06%)
5152,Axi K11 Relic,Uncommon (11.06%)
5153,Axi N10 Relic,Uncommon (11.06%)
5154,Axi T10 Relic,Uncommon (11.06%)
5155,,
5156,Neptune/Cephalon Capture (Conclave),Neptune/Cephalon Capture (Conclave)
5157,Rotation A,Rotation A
5158,400 Endo,Rare (8.33%)
5159,Blind Shot,Rare (2.48%)
5160,Hydraulic Barrel,Rare (2.48%)
5161,Lucky Shot,Rare (2.48%)
5162,Hydraulic Gauge,Rare (2.48%)
5163,Hydraulic Chamber,Rare (2.48%)
5164,Feathered Arrows,Rare (2.48%)
5165,Heightened Reflexes,Rare (2.48%)
5166,Hastened Steps,Rare (2.48%)
5167,Adrenaline Boost,Rare (2.48%)
5168,Vital Systems Bypass,Rare (2.48%)
5169,Secondary Wind,Rare (2.48%)
5170,Deft Tempo,Rare (2.48%)
5171,Plan B,Rare (2.48%)
5172,Kill Switch,Rare (2.48%)
5173,Gorgon Frenzy,Rare (2.48%)
5174,Grinloked,Rare (2.48%)
5175,Double Tap,Rare (2.48%)
5176,Triple Tap,Rare (2.48%)
5177,Final Tap,Rare (2.48%)
5178,Directed Convergence,Rare (2.48%)
5179,Sudden Justice,Rare (2.48%)
5180,Focused Acceleration,Rare (2.48%)
5181,Measured Burst,Rare (2.48%)
5182,Heavy Warhead,Rare (2.48%)
5183,Final Act,Rare (2.48%)
5184,Tactical Retreat,Rare (2.48%)
5185,Mortal Conduct,Rare (2.48%)
5186,Soaring Strike,Rare (2.48%)
5187,Emergent Aftermath,Rare (2.48%)
5188,Static Alacrity,Rare (2.48%)
5189,Thundermiter,Rare (2.48%)
5190,Shrapnel Rounds,Rare (2.48%)
5191,Ambush Optics,Rare (2.48%)
5192,Skull Shots,Rare (2.48%)
5193,Brain Storm,Rare (2.48%)
5194,Draining Gloom,Rare (2.48%)
5195,Precision Munition,Rare (2.48%)
5196,Rotation B,Rotation B
5197,400X Alloy Plate,Uncommon (12.65%)
5198,600X Cryotic,Uncommon (12.65%)
5199,400X Ferrite,Uncommon (12.65%)
5200,500X Nano Spores,Uncommon (12.65%)
5201,500X Polymer Bundle,Uncommon (12.65%)
5202,600X Salvage,Uncommon (12.65%)
5203,100X Circuits,Rare (7.37%)
5204,120X Plastids,Rare (7.37%)
5205,100X Rubedo,Rare (7.37%)
5206,Argon Crystal,Legendary (0.25%)
5207,Control Module,Legendary (0.25%)
5208,Gallium,Legendary (0.25%)
5209,Morphics,Legendary (0.25%)
5210,Neural Sensors,Legendary (0.25%)
5211,Neurodes,Legendary (0.25%)
5212,Orokin Cell,Legendary (0.25%)
5213,Forma Blueprint,Legendary (0.25%)
5214,,
5215,Event: Neptune/The Index: Endurance (Low Risk) (Arena),Event: Neptune/The Index: Endurance (Low Risk) (Arena)
5216,Rotation A,Rotation A
5217,"Return: 105,000",Very Common (100.00%)
5218,Rotation B,Rotation B
5219,"Return: 175,000",Very Common (100.00%)
5220,Rotation C,Rotation C
5221,"Return: 250,000",Very Common (100.00%)
5222,,
5223,Event: Neptune/The Index: Endurance (Medium Risk) (Arena),Event: Neptune/The Index: Endurance (Medium Risk) (Arena)
5224,Rotation A,Rotation A
5225,"Return: 105,000",Very Common (100.00%)
5226,Rotation B,Rotation B
5227,"Return: 175,000",Very Common (100.00%)
5228,Rotation C,Rotation C
5229,"Return: 250,000",Very Common (100.00%)
5230,,
5231,Event: Neptune/The Index: Endurance (High Risk) (Arena),Event: Neptune/The Index: Endurance (High Risk) (Arena)
5232,Rotation A,Rotation A
5233,"Return: 105,000",Very Common (100.00%)
5234,Rotation B,Rotation B
5235,"Return: 175,000",Very Common (100.00%)
5236,Rotation C,Rotation C
5237,"Return: 250,000",Very Common (100.00%)
5238,,
5239,Neptune/The Index: Endurance (Arena),Neptune/The Index: Endurance (Arena)
5240,Rotation A,Rotation A
5241,"Return: 105,000",Very Common (100.00%)
5242,Rotation B,Rotation B
5243,"Return: 175,000",Very Common (100.00%)
5244,Rotation C,Rotation C
5245,"Return: 250,000",Very Common (100.00%)
5246,,
5247,Pluto/Outer Terminus (Defense),Pluto/Outer Terminus (Defense)
5248,Rotation A,Rotation A
5249,Vitality,Uncommon (10.00%)
5250,Magazine Warp,Uncommon (10.00%)
5251,Trick Mag,Uncommon (10.00%)
5252,Neo S17 Relic,Uncommon (10.00%)
5253,Neo L2 Relic,Uncommon (10.00%)
5254,Neo K5 Relic,Uncommon (10.00%)
5255,Neo N22 Relic,Uncommon (10.00%)
5256,Neo C3 Relic,Uncommon (10.00%)
5257,Neo C2 Relic,Uncommon (10.00%)
5258,Neo M4 Relic,Uncommon (10.00%)
5259,Rotation B,Rotation B
5260,Hornet Strike,Rare (6.67%)
5261,Reflex Coil,Rare (6.67%)
5262,Deep Freeze,Rare (6.67%)
5263,North Wind,Rare (6.67%)
5264,Hell's Chamber,Rare (6.67%)
5265,Streamline,Rare (6.67%)
5266,Shocking Touch,Rare (6.67%)
5267,200 Endo,Rare (6.67%)
5268,Axi H6 Relic,Rare (6.67%)
5269,Axi A16 Relic,Rare (6.67%)
5270,Axi G10 Relic,Rare (6.67%)
5271,Axi B6 Relic,Rare (6.67%)
5272,Axi K11 Relic,Rare (6.67%)
5273,Axi N10 Relic,Rare (6.67%)
5274,Axi T10 Relic,Rare (6.67%)
5275,Rotation C,Rotation C
5276,Vital Sense,Rare (2.26%)
5277,Metal Auger,Rare (2.26%)
5278,Ravage,Rare (2.26%)
5279,Stretch,Rare (2.26%)
5280,Handspring,Rare (2.26%)
5281,Convulsion,Rare (2.26%)
5282,Split Chamber,Rare (2.26%)
5283,Continuity,Rare (2.26%)
5284,Master Thief,Rare (2.26%)
5285,400 Endo,Rare (2.26%)
5286,Axi H6 Relic,Uncommon (11.06%)
5287,Axi A16 Relic,Uncommon (11.06%)
5288,Axi G10 Relic,Uncommon (11.06%)
5289,Axi B6 Relic,Uncommon (11.06%)
5290,Axi K11 Relic,Uncommon (11.06%)
5291,Axi N10 Relic,Uncommon (11.06%)
5292,Axi T10 Relic,Uncommon (11.06%)
5293,,
5294,Pluto/Regna (Rescue),Pluto/Regna (Rescue)
5295,Rotation A,Rotation A
5296,Phase Specter Blueprint,Very Common (100.00%)
5297,Rotation B,Rotation B
5298,Force Specter Blueprint,Very Common (100.00%)
5299,Rotation C,Rotation C
5300,Cosmic Specter Blueprint,Very Common (100.00%)
5301,,
5302,Event: Pluto/Charon (Caches),Event: Pluto/Charon (Caches)
5303,Rotation A,Rotation A
5304,"10,000 Credits Cache",Very Common (100.00%)
5305,Rotation B,Rotation B
5306,400 Endo,Uncommon (12.65%)
5307,400 Endo,Uncommon (12.65%)
5308,400 Endo,Uncommon (12.65%)
5309,400 Endo,Uncommon (11.06%)
5310,400 Endo,Uncommon (11.06%)
5311,400 Endo,Rare (2.01%)
5312,400X Circuits,Uncommon (12.65%)
5313,400X Rubedo,Uncommon (12.65%)
5314,300X Plastids,Uncommon (12.65%)
5315,Rotation C,Rotation C
5316,600 Endo,Uncommon (12.58%)
5317,600 Endo,Uncommon (12.58%)
5318,600 Endo,Uncommon (12.58%)
5319,600 Endo,Rare (3.67%)
5320,Orokin Cell,Uncommon (12.58%)
5321,Gallium,Uncommon (12.58%)
5322,Neurodes,Uncommon (12.58%)
5323,2X Orokin Cell,Rare (3.67%)
5324,2X Gallium,Rare (3.67%)
5325,2X Neurodes,Rare (3.67%)
5326,Argon Crystal,Rare (3.67%)
5327,Tellurium,Rare (3.67%)
5328,Nitain Extract,Rare (2.00%)
5329,Xiphos Avionics Blueprint,Legendary (0.50%)
5330,,
5331,Pluto/Hydra (Capture),Pluto/Hydra (Capture)
5332,Vitality,Uncommon (10.84%)
5333,Fast Deflection,Uncommon (10.84%)
5334,Rush,Uncommon (11.06%)
5335,Magazine Warp,Uncommon (10.84%)
5336,Trick Mag,Uncommon (10.84%)
5337,Pressure Point,Legendary (0.34%)
5338,Ammo Drum,Uncommon (11.06%)
5339,Fast Hands,Uncommon (10.84%)
5340,Quickdraw,Uncommon (10.84%)
5341,Health Restore (Large),Uncommon (10.84%)
5342,Omni Ammo Box,Legendary (0.34%)
5343,North Wind,Legendary (0.34%)
5344,Shocking Touch,Legendary (0.34%)
5345,Molten Impact,Legendary (0.34%)
5346,Stretch,Legendary (0.34%)
5347,,
5348,Pluto/Hades (Assassination),Pluto/Hades (Assassination)
5349,Trinity Neuroptics Blueprint,Common (38.72%)
5350,Trinity Chassis Blueprint,Common (38.72%)
5351,Trinity Systems Blueprint,Uncommon (22.56%)
5352,,
5353,Pluto/Cypress (Caches),Pluto/Cypress (Caches)
5354,Rotation A,Rotation A
5355,"10,000 Credits Cache",Very Common (100.00%)
5356,Rotation B,Rotation B
5357,400 Endo,Uncommon (12.65%)
5358,400 Endo,Uncommon (12.65%)
5359,400 Endo,Uncommon (12.65%)
5360,400 Endo,Uncommon (11.06%)
5361,400 Endo,Uncommon (11.06%)
5362,400 Endo,Rare (2.01%)
5363,400X Circuits,Uncommon (12.65%)
5364,400X Rubedo,Uncommon (12.65%)
5365,300X Plastids,Uncommon (12.65%)
5366,Rotation C,Rotation C
5367,600 Endo,Uncommon (12.58%)
5368,600 Endo,Uncommon (12.58%)
5369,600 Endo,Uncommon (12.58%)
5370,600 Endo,Rare (3.67%)
5371,Orokin Cell,Uncommon (12.58%)
5372,Gallium,Uncommon (12.58%)
5373,Neurodes,Uncommon (12.58%)
5374,2X Orokin Cell,Rare (3.67%)
5375,2X Gallium,Rare (3.67%)
5376,2X Neurodes,Rare (3.67%)
5377,Argon Crystal,Rare (3.67%)
5378,Tellurium,Rare (3.67%)
5379,Nitain Extract,Rare (2.00%)
5380,Xiphos Avionics Blueprint,Legendary (0.50%)
5381,,
5382,Pluto/Cerberus (Interception),Pluto/Cerberus (Interception)
5383,Rotation A,Rotation A
5384,Vitality,Uncommon (10.00%)
5385,Magazine Warp,Uncommon (10.00%)
5386,Trick Mag,Uncommon (10.00%)
5387,Neo S17 Relic,Uncommon (10.00%)
5388,Neo L2 Relic,Uncommon (10.00%)
5389,Neo K5 Relic,Uncommon (10.00%)
5390,Neo N22 Relic,Uncommon (10.00%)
5391,Neo C3 Relic,Uncommon (10.00%)
5392,Neo C2 Relic,Uncommon (10.00%)
5393,Neo M4 Relic,Uncommon (10.00%)
5394,Rotation B,Rotation B
5395,Axi H6 Relic,Uncommon (14.29%)
5396,Axi A16 Relic,Uncommon (14.29%)
5397,Axi G10 Relic,Uncommon (14.29%)
5398,Axi B6 Relic,Uncommon (14.29%)
5399,Axi K11 Relic,Uncommon (14.29%)
5400,Axi N10 Relic,Uncommon (14.29%)
5401,Axi T10 Relic,Uncommon (14.29%)
5402,Rotation C,Rotation C
5403,Axi H6 Relic,Uncommon (14.29%)
5404,Axi A16 Relic,Uncommon (14.29%)
5405,Axi G10 Relic,Uncommon (14.29%)
5406,Axi B6 Relic,Uncommon (14.29%)
5407,Axi K11 Relic,Uncommon (14.29%)
5408,Axi N10 Relic,Uncommon (14.29%)
5409,Axi T10 Relic,Uncommon (14.29%)
5410,,
5411,Pluto/Palus (Survival),Pluto/Palus (Survival)
5412,Rotation A,Rotation A
5413,"3,000 Credits Cache",Uncommon (25.00%)
5414,"3,000 Credits Cache",Uncommon (25.00%)
5415,"3,000 Credits Cache",Uncommon (25.00%)
5416,400 Endo,Uncommon (25.00%)
5417,Rotation B,Rotation B
5418,Steel Fiber,Rare (6.67%)
5419,Stretch,Rare (6.67%)
5420,Serration,Rare (6.67%)
5421,Hell's Chamber,Rare (6.67%)
5422,Hornet Strike,Rare (6.67%)
5423,Flow,Rare (6.67%)
5424,Split Chamber,Rare (6.67%)
5425,Stabilizer,Rare (6.67%)
5426,Neo S17 Relic,Rare (6.67%)
5427,Neo L2 Relic,Rare (6.67%)
5428,Neo K5 Relic,Rare (6.67%)
5429,Neo N22 Relic,Rare (6.67%)
5430,Neo C3 Relic,Rare (6.67%)
5431,Neo C2 Relic,Rare (6.67%)
5432,Neo M4 Relic,Rare (6.67%)
5433,Rotation C,Rotation C
5434,Cleanse Infested,Rare (3.76%)
5435,Pistol Ammo Mutation,Rare (3.76%)
5436,Arrow Mutation,Rare (3.76%)
5437,Rifle Ammo Mutation,Rare (3.76%)
5438,Sniper Ammo Mutation,Rare (3.76%)
5439,Shotgun Ammo Mutation,Rare (3.76%)
5440,Axi H6 Relic,Uncommon (11.06%)
5441,Axi A16 Relic,Uncommon (11.06%)
5442,Axi G10 Relic,Uncommon (11.06%)
5443,Axi B6 Relic,Uncommon (11.06%)
5444,Axi K11 Relic,Uncommon (11.06%)
5445,Axi N10 Relic,Uncommon (11.06%)
5446,Axi T10 Relic,Uncommon (11.06%)
5447,,
5448,Pluto/Sechura (Defense),Pluto/Sechura (Defense)
5449,Rotation A,Rotation A
5450,Vitality,Rare (6.90%)
5451,Fast Deflection,Rare (6.90%)
5452,Rush,Rare (7.37%)
5453,Magazine Warp,Rare (6.90%)
5454,Trick Mag,Rare (6.90%)
5455,Pressure Point,Ultra Rare (1.01%)
5456,Ammo Drum,Rare (7.37%)
5457,Fast Hands,Rare (7.37%)
5458,True Punishment,Ultra Rare (1.01%)
5459,Lith G6 Relic,Rare (6.90%)
5460,Lith H8 Relic,Rare (6.90%)
5461,Lith S15 Relic,Rare (6.90%)
5462,Lith S14 Relic,Rare (6.90%)
5463,Lith B11 Relic,Rare (6.90%)
5464,Lith K10 Relic,Rare (6.90%)
5465,Lith R3 Relic,Rare (6.90%)
5466,Rotation B,Rotation B
5467,Speed Trigger,Rare (8.43%)
5468,Fast Hands,Ultra Rare (1.58%)
5469,Point Strike,Rare (8.43%)
5470,Vital Sense,Rare (8.43%)
5471,Piercing Hit,Ultra Rare (1.58%)
5472,Metal Auger,Ultra Rare (1.58%)
5473,Pistol Gambit,Rare (8.43%)
5474,Target Cracker,Rare (8.43%)
5475,No Return,Rare (8.43%)
5476,Ravage,Rare (8.43%)
5477,Blunderbuss,Rare (8.43%)
5478,Point Blank,Ultra Rare (1.58%)
5479,Serration,Ultra Rare (1.58%)
5480,Hornet Strike,Ultra Rare (1.58%)
5481,Fury,Legendary (0.67%)
5482,Reflex Coil,Ultra Rare (1.58%)
5483,Pressure Point,Rare (8.43%)
5484,True Punishment,Legendary (0.67%)
5485,Quickening,Legendary (0.67%)
5486,Meso P11 Relic,Ultra Rare (1.58%)
5487,Meso H4 Relic,Ultra Rare (1.58%)
5488,Meso N14 Relic,Ultra Rare (1.58%)
5489,Meso P10 Relic,Ultra Rare (1.58%)
5490,Meso D7 Relic,Ultra Rare (1.58%)
5491,Meso K4 Relic,Ultra Rare (1.58%)
5492,Meso S12 Relic,Ultra Rare (1.58%)
5493,Rotation C,Rotation C
5494,Hellfire,Rare (7.59%)
5495,Heated Charge,Rare (7.59%)
5496,Molten Impact,Ultra Rare (1.84%)
5497,Barrel Diffusion,Ultra Rare (1.84%)
5498,Streamline,Ultra Rare (1.84%)
5499,Intensify,Ultra Rare (1.84%)
5500,Thunderbolt,Legendary (0.40%)
5501,80 Endo,Rare (7.59%)
5502,80 Endo,Ultra Rare (1.84%)
5503,True Punishment,Legendary (0.40%)
5504,Quickening,Legendary (0.40%)
5505,Enduring Strike,Legendary (0.40%)
5506,Life Strike,Legendary (0.40%)
5507,Meso P11 Relic,Rare (7.59%)
5508,Meso H4 Relic,Rare (7.59%)
5509,Meso N14 Relic,Rare (7.59%)
5510,Meso P10 Relic,Rare (7.59%)
5511,Meso D7 Relic,Rare (7.59%)
5512,Meso K4 Relic,Rare (7.59%)
5513,Meso S12 Relic,Rare (7.59%)
5514,Neo S17 Relic,Ultra Rare (1.84%)
5515,Neo L2 Relic,Ultra Rare (1.84%)
5516,Neo K5 Relic,Ultra Rare (1.84%)
5517,Neo N22 Relic,Ultra Rare (1.84%)
5518,Neo C3 Relic,Ultra Rare (1.84%)
5519,Neo C2 Relic,Ultra Rare (1.84%)
5520,Neo M4 Relic,Ultra Rare (1.84%)
5521,,
5522,Pluto/Oceanum (Spy),Pluto/Oceanum (Spy)
5523,Rotation A,Rotation A
5524,"2,500 Credits Cache",Uncommon (14.29%)
5525,"2,500 Credits Cache",Uncommon (14.29%)
5526,100 Endo,Uncommon (14.29%)
5527,100 Endo,Uncommon (14.29%)
5528,Steady Hands,Uncommon (14.29%)
5529,Stabilizer,Uncommon (14.29%)
5530,Power Throw,Uncommon (14.29%)
5531,Rotation B,Rotation B
5532,Meso P11 Relic,Uncommon (11.06%)
5533,Meso H4 Relic,Uncommon (11.06%)
5534,Meso N14 Relic,Uncommon (11.06%)
5535,Meso P10 Relic,Uncommon (11.06%)
5536,Meso D7 Relic,Uncommon (11.06%)
5537,Meso K4 Relic,Uncommon (11.06%)
5538,Meso S12 Relic,Uncommon (11.06%)
5539,Neo S17 Relic,Rare (3.22%)
5540,Neo L2 Relic,Rare (3.22%)
5541,Neo K5 Relic,Rare (3.22%)
5542,Neo N22 Relic,Rare (3.22%)
5543,Neo C3 Relic,Rare (3.22%)
5544,Neo C2 Relic,Rare (3.22%)
5545,Neo M4 Relic,Rare (3.22%)
5546,Rotation C,Rotation C
5547,Auto Breach,Rare (7.04%)
5548,Power Throw,Rare (7.04%)
5549,Stretch,Rare (7.04%)
5550,Hell's Chamber,Rare (7.04%)
5551,Scorch,Rare (7.04%)
5552,Thermite Rounds,Rare (7.04%)
5553,Frostbite,Rare (7.52%)
5554,Frigid Blast,Rare (7.04%)
5555,Arrow Mutation,Rare (7.04%)
5556,Sniper Ammo Mutation,Rare (7.04%)
5557,Shotgun Ammo Mutation,Rare (7.04%)
5558,Covert Lethality,Rare (7.04%)
5559,Ivara Neuroptics Blueprint,Rare (7.52%)
5560,Ivara Blueprint,Rare (7.52%)
5561,,
5562,Pluto/Hieracon (Excavation),Pluto/Hieracon (Excavation)
5563,Rotation A,Rotation A
5564,"3,000 Credits Cache",Uncommon (25.00%)
5565,"3,000 Credits Cache",Uncommon (25.00%)
5566,"3,000 Credits Cache",Uncommon (25.00%)
5567,400 Endo,Uncommon (25.00%)
5568,Rotation B,Rotation B
5569,Steel Fiber,Rare (6.67%)
5570,Stretch,Rare (6.67%)
5571,Serration,Rare (6.67%)
5572,Hell's Chamber,Rare (6.67%)
5573,Hornet Strike,Rare (6.67%)
5574,Flow,Rare (6.67%)
5575,Split Chamber,Rare (6.67%)
5576,Stabilizer,Rare (6.67%)
5577,Neo S17 Relic,Rare (6.67%)
5578,Neo L2 Relic,Rare (6.67%)
5579,Neo K5 Relic,Rare (6.67%)
5580,Neo N22 Relic,Rare (6.67%)
5581,Neo C3 Relic,Rare (6.67%)
5582,Neo C2 Relic,Rare (6.67%)
5583,Neo M4 Relic,Rare (6.67%)
5584,Rotation C,Rotation C
5585,Cleanse Infested,Rare (3.76%)
5586,Pistol Ammo Mutation,Rare (3.76%)
5587,Arrow Mutation,Rare (3.76%)
5588,Rifle Ammo Mutation,Rare (3.76%)
5589,Sniper Ammo Mutation,Rare (3.76%)
5590,Shotgun Ammo Mutation,Rare (3.76%)
5591,Axi H6 Relic,Uncommon (11.06%)
5592,Axi A16 Relic,Uncommon (11.06%)
5593,Axi G10 Relic,Uncommon (11.06%)
5594,Axi B6 Relic,Uncommon (11.06%)
5595,Axi K11 Relic,Uncommon (11.06%)
5596,Axi N10 Relic,Uncommon (11.06%)
5597,Axi T10 Relic,Uncommon (11.06%)
5598,,
5599,Event: Pluto/Corb (Capture),Event: Pluto/Corb (Capture)
5600,Vitality,Uncommon (10.84%)
5601,Fast Deflection,Uncommon (10.84%)
5602,Rush,Uncommon (11.06%)
5603,Magazine Warp,Uncommon (10.84%)
5604,Trick Mag,Uncommon (10.84%)
5605,Pressure Point,Legendary (0.34%)
5606,Ammo Drum,Uncommon (11.06%)
5607,Fast Hands,Uncommon (10.84%)
5608,Quickdraw,Uncommon (10.84%)
5609,Health Restore (Large),Uncommon (10.84%)
5610,Omni Ammo Box,Legendary (0.34%)
5611,North Wind,Legendary (0.34%)
5612,Shocking Touch,Legendary (0.34%)
5613,Molten Impact,Legendary (0.34%)
5614,Stretch,Legendary (0.34%)
5615,,
5616,Pluto/Khufu Envoy (Skirmish),Pluto/Khufu Envoy (Skirmish)
5617,Rotation A,Rotation A
5618,300 Endo,Uncommon (28.57%)
5619,Lavan Engines Mk Iii,Uncommon (14.29%)
5620,Lavan Reactor Mk Iii,Uncommon (14.29%)
5621,Lavan Shield Array Mk Iii,Uncommon (14.29%)
5622,Lavan Plating Mk Iii,Uncommon (14.29%)
5623,Neo S17 Relic,Rare (4.76%)
5624,Neo L2 Relic,Rare (4.76%)
5625,Neo K5 Relic,Rare (4.76%)
5626,Rotation B,Rotation B
5627,450 Endo,Uncommon (27.27%)
5628,Vidar Engines Mk Iii,Uncommon (13.64%)
5629,Vidar Reactor Mk Iii,Uncommon (13.64%)
5630,Vidar Shield Array Mk Iii,Uncommon (13.64%)
5631,Vidar Plating Mk Iii,Uncommon (13.64%)
5632,Neo N22 Relic,Rare (4.55%)
5633,Neo C3 Relic,Rare (4.55%)
5634,Neo C2 Relic,Rare (4.55%)
5635,Neo M4 Relic,Rare (4.55%)
5636,Rotation C,Rotation C
5637,Arcane Tempo,Uncommon (10.00%)
5638,Arcane Consequence,Uncommon (10.00%)
5639,Arcane Momentum,Uncommon (10.00%)
5640,Arcane Ice,Uncommon (10.00%)
5641,Arcane Nullifier,Uncommon (10.00%)
5642,Arcane Warmth,Uncommon (10.00%)
5643,Arcane Deflection,Rare (6.67%)
5644,Arcane Phantasm,Rare (6.67%)
5645,Arcane Eruption,Rare (6.67%)
5646,Arcane Velocity,Rare (6.67%)
5647,Arcane Agility,Rare (6.67%)
5648,Arcane Avenger,Rare (3.33%)
5649,Arcane Arachne,Rare (3.33%)
5650,,
5651,Pluto/Khufu Envoy (Skirmish) Extra,Pluto/Khufu Envoy (Skirmish) Extra
5652,200X Cubic Diodes,Uncommon (28.57%)
5653,200X Titanium,Uncommon (28.57%)
5654,5X Isos,Uncommon (14.29%)
5655,5X Asterite,Uncommon (14.29%)
5656,Aucrux Capacitors,Rare (7.14%)
5657,Nullstones,Rare (7.14%)
5658,,
5659,Pluto/Khufu Envoy (Caches),Pluto/Khufu Envoy (Caches)
5660,Rotation A,Rotation A
5661,300 Endo,Uncommon (26.09%)
5662,450 Endo,Uncommon (17.39%)
5663,Countermeasures,Rare (8.70%)
5664,Munitions Vortex,Rare (8.70%)
5665,Blackout Pulse,Rare (8.70%)
5666,Meso P11 Relic,Rare (4.35%)
5667,Meso H4 Relic,Rare (4.35%)
5668,Meso N14 Relic,Rare (4.35%)
5669,Meso P10 Relic,Rare (4.35%)
5670,Meso D7 Relic,Rare (4.35%)
5671,Meso K4 Relic,Rare (4.35%)
5672,Meso S12 Relic,Rare (4.35%)
5673,Rotation B,Rotation B
5674,400 Endo,Uncommon (18.18%)
5675,600 Endo,Uncommon (12.12%)
5676,Internal Bleeding,Rare (9.09%)
5677,Hemorrhage,Rare (9.09%)
5678,Votive Onslaught,Rare (9.09%)
5679,Axi V10 Relic,Rare (9.09%)
5680,Axi S8 Relic,Rare (9.09%)
5681,Carmine Penta Blueprint,Rare (6.06%)
5682,Carmine Penta Barrel,Rare (6.06%)
5683,Carmine Penta Receiver,Rare (6.06%)
5684,Carmine Penta Stock,Rare (6.06%)
5685,,
5686,Pluto/Seven Sirens (Skirmish),Pluto/Seven Sirens (Skirmish)
5687,300 Endo,Uncommon (12.05%)
5688,450 Endo,Rare (7.23%)
5689,Lavan Engines Mk Iii,Rare (7.23%)
5690,Lavan Reactor Mk Iii,Rare (7.23%)
5691,Lavan Shield Array Mk Iii,Rare (7.23%)
5692,Lavan Plating Mk Iii,Rare (7.23%)
5693,Vidar Engines Mk Iii,Rare (7.23%)
5694,Vidar Reactor Mk Iii,Rare (7.23%)
5695,Vidar Shield Array Mk Iii,Rare (7.23%)
5696,Vidar Plating Mk Iii,Rare (7.23%)
5697,Ash Chassis Blueprint,Rare (4.82%)
5698,Neo S17 Relic,Rare (2.41%)
5699,Neo L2 Relic,Rare (2.41%)
5700,Neo K5 Relic,Rare (2.41%)
5701,Neo N22 Relic,Rare (2.41%)
5702,Neo C3 Relic,Rare (2.41%)
5703,Neo C2 Relic,Rare (2.41%)
5704,Neo M4 Relic,Rare (2.41%)
5705,2X Riven Sliver,Ultra Rare (1.20%)
5706,,
5707,Pluto/Seven Sirens (Skirmish) Extra,Pluto/Seven Sirens (Skirmish) Extra
5708,200X Cubic Diodes,Uncommon (28.57%)
5709,200X Titanium,Uncommon (28.57%)
5710,5X Isos,Uncommon (14.29%)
5711,5X Asterite,Uncommon (14.29%)
5712,Aucrux Capacitors,Rare (7.14%)
5713,Nullstones,Rare (7.14%)
5714,,
5715,Pluto/Seven Sirens (Caches),Pluto/Seven Sirens (Caches)
5716,Rotation A,Rotation A
5717,300 Endo,Uncommon (26.09%)
5718,450 Endo,Uncommon (17.39%)
5719,Countermeasures,Rare (8.70%)
5720,Munitions Vortex,Rare (8.70%)
5721,Blackout Pulse,Rare (8.70%)
5722,Meso P11 Relic,Rare (4.35%)
5723,Meso H4 Relic,Rare (4.35%)
5724,Meso N14 Relic,Rare (4.35%)
5725,Meso P10 Relic,Rare (4.35%)
5726,Meso D7 Relic,Rare (4.35%)
5727,Meso K4 Relic,Rare (4.35%)
5728,Meso S12 Relic,Rare (4.35%)
5729,Rotation B,Rotation B
5730,400 Endo,Uncommon (18.18%)
5731,600 Endo,Uncommon (12.12%)
5732,Internal Bleeding,Rare (9.09%)
5733,Hemorrhage,Rare (9.09%)
5734,Votive Onslaught,Rare (9.09%)
5735,Axi V10 Relic,Rare (9.09%)
5736,Axi S8 Relic,Rare (9.09%)
5737,Carmine Penta Blueprint,Rare (6.06%)
5738,Carmine Penta Barrel,Rare (6.06%)
5739,Carmine Penta Receiver,Rare (6.06%)
5740,Carmine Penta Stock,Rare (6.06%)
5741,,
5742,Pluto/Obol Crossing (Skirmish),Pluto/Obol Crossing (Skirmish)
5743,Rotation A,Rotation A
5744,300 Endo,Uncommon (26.67%)
5745,Lavan Engines Mk Iii,Uncommon (20.00%)
5746,Lavan Reactor Mk Iii,Uncommon (20.00%)
5747,Ash Chassis Blueprint,Uncommon (13.33%)
5748,Neo S17 Relic,Rare (6.67%)
5749,Neo L2 Relic,Rare (6.67%)
5750,Neo K5 Relic,Rare (6.67%)
5751,Rotation B,Rotation B
5752,300 Endo,Uncommon (30.30%)
5753,Lavan Shield Array Mk Iii,Uncommon (18.18%)
5754,Vidar Engines Mk Iii,Uncommon (18.18%)
5755,Lavan Plating Mk Iii,Uncommon (18.18%)
5756,Neo N22 Relic,Rare (6.06%)
5757,Neo C3 Relic,Rare (6.06%)
5758,Riven Sliver,Rare (3.03%)
5759,Rotation C,Rotation C
5760,450 Endo,Common (43.90%)
5761,Vidar Reactor Mk Iii,Uncommon (14.63%)
5762,Vidar Shield Array Mk Iii,Uncommon (14.63%)
5763,Vidar Plating Mk Iii,Uncommon (14.63%)
5764,Neo C2 Relic,Rare (4.88%)
5765,Neo M4 Relic,Rare (4.88%)
5766,2X Riven Sliver,Rare (2.44%)
5767,,
5768,Pluto/Obol Crossing (Skirmish) Extra,Pluto/Obol Crossing (Skirmish) Extra
5769,200X Cubic Diodes,Uncommon (28.57%)
5770,200X Titanium,Uncommon (28.57%)
